Date,AAPL,AMZN,GBTC,GOOG,META,NFLX,NVDA,TSLA,^GSPC
2019-01-02,39.47999954223633,76.95649719238281,4.619999885559082,52.29249954223633,135.67999267578125,267.6600036621094,34.05500030517578,20.674667358398438,2510.030029296875
2019-01-03,35.54750061035156,75.01399993896484,4.519999980926514,50.803001403808594,131.74000549316406,271.20001220703125,31.997499465942383,20.02400016784668,2447.889892578125
2019-01-04,37.064998626708984,78.76950073242188,4.53000020980835,53.535499572753906,137.9499969482422,297.57000732421875,34.04750061035156,21.179332733154297,2531.93994140625
2019-01-07,36.98249816894531,81.47550201416016,4.860000133514404,53.419498443603516,138.0500030517578,315.3399963378906,35.849998474121094,22.33066749572754,2549.68994140625
2019-01-08,37.6875,82.8290023803711,4.960000038146973,53.81399917602539,142.52999877929688,320.2699890136719,34.95750045776367,22.356666564941406,2574.409912109375
2019-01-09,38.32749938964844,82.97100067138672,4.710000038146973,53.733001708984375,144.22999572753906,319.9599914550781,35.64500045776367,22.568666458129883,2584.9599609375
2019-01-10,38.45000076293945,82.81099700927734,4.320000171661377,53.51649856567383,144.1999969482422,324.6600036621094,36.307498931884766,22.99799919128418,2596.639892578125
2019-01-11,38.0724983215332,82.02799987792969,4.320000171661377,52.859500885009766,143.8000030517578,337.5899963378906,37.20750045776367,23.150667190551758,2596.260009765625
2019-01-14,37.5,80.8604965209961,4.46999979019165,52.234500885009766,145.38999938964844,332.94000244140625,37.61000061035156,22.293333053588867,2582.610107421875
2019-01-15,38.26750183105469,83.72799682617188,4.210000038146973,53.85749816894531,148.9499969482422,354.6400146484375,37.467498779296875,22.961999893188477,2610.300048828125
2019-01-16,38.73500061035156,84.18900299072266,4.239999771118164,54.048500061035156,147.5399932861328,351.3900146484375,37.209999084472656,23.06999969482422,2616.10009765625
2019-01-17,38.96500015258789,84.66100311279297,4.429999828338623,54.494998931884766,148.3000030517578,353.19000244140625,37.93000030517578,23.15399932861328,2635.9599609375
2019-01-18,39.20500183105469,84.80999755859375,4.340000152587891,54.91299819946289,150.0399932861328,339.1000061035156,39.23249816894531,20.150667190551758,2670.7099609375
2019-01-22,38.32500076293945,81.6084976196289,4.25,53.5260009765625,147.57000732421875,325.1600036621094,37.192501068115234,19.92799949645996,2632.89990234375
2019-01-23,38.47999954223633,82.0009994506836,4.119999885559082,53.778499603271484,144.3000030517578,321.989990234375,37.3224983215332,19.172666549682617,2638.699951171875
2019-01-24,38.17499923706055,82.74649810791016,4.25,53.69499969482422,145.8300018310547,326.6700134277344,39.459999084472656,19.43400001525879,2642.330078125
2019-01-25,39.439998626708984,83.52850341796875,4.190000057220459,54.54949951171875,149.00999450683594,338.04998779296875,40.037498474121094,19.80266761779785,2664.760009765625
2019-01-28,39.07500076293945,81.89450073242188,3.930000066757202,53.50400161743164,147.47000122070312,335.6600036621094,34.502498626708984,19.7586669921875,2643.85009765625
2019-01-29,38.66999816894531,79.69400024414062,4.019999980926514,53.03099822998047,144.19000244140625,328.8999938964844,32.900001525878906,19.83066749572754,2640.0
2019-01-30,41.3125,83.52149963378906,4.059999942779541,54.452999114990234,150.4199981689453,340.6600036621094,34.34749984741211,20.584667205810547,2681.050048828125
2019-01-31,41.61000061035156,85.9365005493164,3.990000009536743,55.81850051879883,166.69000244140625,339.5,35.9375,20.468000411987305,2704.10009765625
2019-02-01,41.630001068115234,81.3115005493164,4.019999980926514,55.537498474121094,165.7100067138672,339.8500061035156,36.182498931884766,20.81399917602539,2706.530029296875
2019-02-04,42.8125,81.66549682617188,3.9600000381469727,56.63999938964844,169.25,351.3399963378906,37.29499816894531,20.859333038330078,2724.8701171875
2019-02-05,43.54499816894531,82.94049835205078,3.9000000953674316,57.29949951171875,171.16000366210938,355.80999755859375,37.48749923706055,21.42333221435547,2737.699951171875
2019-02-06,43.560001373291016,82.01300048828125,3.8399999141693115,55.76150131225586,170.49000549316406,352.19000244140625,38.25,21.148000717163086,2731.610107421875
2019-02-07,42.73500061035156,80.71849822998047,3.869999885559082,54.93550109863281,166.3800048828125,344.7099914550781,36.85499954223633,20.500667572021484,2706.050048828125
2019-02-08,42.602500915527344,79.41100311279297,4.460000038146973,54.75299835205078,167.3300018310547,347.57000732421875,37.04249954223633,20.386667251586914,2707.8798828125
2019-02-11,42.35749816894531,79.55000305175781,4.230000019073486,54.7504997253418,165.7899932861328,345.7300109863281,36.61249923706055,20.856000900268555,2709.800048828125
2019-02-12,42.72249984741211,81.90049743652344,4.385000228881836,56.06850051879883,165.0399932861328,359.9700012207031,37.79249954223633,20.78733253479004,2744.72998046875
2019-02-13,42.54499816894531,82.0,4.159999847412109,56.007999420166016,164.07000732421875,351.7699890136719,38.220001220703125,20.544666290283203,2753.030029296875
2019-02-14,42.70000076293945,81.13249969482422,4.079999923706055,56.083499908447266,163.9499969482422,359.07000732421875,38.63249969482422,20.251333236694336,2745.72998046875
2019-02-15,42.60499954223633,80.39749908447266,4.190000057220459,55.682498931884766,162.5,356.8699951171875,39.334999084472656,20.525333404541016,2775.60009765625
2019-02-19,42.73249816894531,81.37899780273438,4.679999828338623,55.928001403808594,162.2899932861328,361.9200134277344,39.15999984741211,20.375999450683594,2779.760009765625
2019-02-20,43.00749969482422,81.1050033569336,4.820000171661377,55.689998626708984,162.55999755859375,359.9100036621094,39.63750076293945,20.17066764831543,2784.699951171875
2019-02-21,42.76499938964844,80.97200012207031,4.71999979019165,54.8484992980957,160.0399932861328,356.9700012207031,38.942501068115234,19.415332794189453,2774.8798828125
